zip_code,snapshot_date,market_size,members,members_gained,members_lost
93232,2025-06-30,341,1169,45,23
93232,2025-09-30,342,1154,4,19
93232,2025-12-31,342,1140,13,27
93232,2026-03-31,343,1132,15,23
93232,2026-06-30,343,1119,6,19
93234,2024-09-30,3964,4010,,
93234,2024-12-31,3976,4099,177,88
93234,2025-03-31,3987,4190,167,76
93234,2025-06-30,3999,4230,123,83
93234,2025-09-30,4010,4301,152,81
93234,2025-12-31,4022,4201,0,100
93234,2026-03-31,4033,4196,97,102
93234,2026-06-30,4045,4229,123,90
93235,2024-09-30,26205,9976,,
93235,2024-12-31,26438,9829,47,194
93235,2025-03-31,26673,9639,0,190
93235,2025-06-30,26910,9812,346,173
93235,2025-09-30,27148,9821,193,184
93235,2025-12-31,27389,9994,445,272
93235,2026-03-31,27633,9687,0,307
93235,2026-06-30,27878,9704,246,229
93237,2024-09-30,32653,11632,,
93237,2024-12-31,32700,11908,475,199
93237,2025-03-31,32747,11877,171,202
93237,2025-06-30,32794,11788,167,256
93237,2025-09-30,32841,11821,339,306
93237,2025-12-31,32888,11751,184,254
93237,2026-03-31,32936,11954,445,242
93237,2026-06-30,32983,11878,186,262
93239,2024-09-30,11608,2637,,
93239,2024-12-31,11642,2618,25,44
93239,2025-03-31,11675,2639,90,69
93239,2025-06-30,11709,2677,108,70
93239,2025-09-30,11743,2671,49,55
93239,2025-12-31,11777,2722,104,53
93239,2026-03-31,11811,2721,69,70
93239,2026-06-30,11845,2704,31,48
93242,2024-09-30,30384,1571,,
93242,2024-12-31,30428,1603,68,36
93242,2025-03-31,30471,1589,9,23
93242,2025-06-30,30515,1595,39,33
93242,2025-09-30,30559,1594,28,29
93242,2025-12-31,30603,1606,39,27
93242,2026-03-31,30647,1633,56,29
93242,2026-06-30,30691,1604,4,33
93244,2024-09-30,4823,6204,,
93244,2024-12-31,4888,5989,0,215
93244,2025-03-31,4955,5947,71,113
93244,2025-06-30,5022,5950,124,121
93244,2025-09-30,5090,5912,91,129
93244,2025-12-31,5159,5957,172,127
93244,2026-03-31,5229,5787,0,170
93244,2026-06-30,5300,5789,125,123
93245,2024-09-30,4360,1895,,
93245,2024-12-31,4366,1950,102,47
93245,2025-03-31,4372,1943,29,36
93245,2025-06-30,4379,1879,0,64
93245,2025-09-30,4385,1894,42,27
93245,2025-12-31,4391,1870,15,39
93245,2026-03-31,4398,1897,60,33
93245,2026-06-30,4404,1909,49,37
93246,2024-09-30,34455,10525,,
93246,2024-12-31,34504,10656,448,317
93246,2025-03-31,34554,10525,53,184
93246,2025-06-30,34604,10541,225,209
93246,2025-09-30,34653,11035,727,233
93246,2025-12-31,34703,10625,0,410
93246,2026-03-31,34753,10734,299,190
93246,2026-06-30,34803,10854,337,217
93247,2024-09-30,4504,931,,
93247,2024-12-31,4511,929,16,18
93247,2025-03-31,4517,923,15,21
93247,2025-06-30,4524,925,24,22
93247,2025-09-30,4530,913,8,20
93247,2025-12-31,4537,927,34,20
93247,2026-03-31,4543,930,23,20
93247,2026-06-30,4550,932,22,20
93262,2024-09-30,41625,17155,,
93262,2024-12-31,41745,17524,794,425
93262,2025-03-31,41865,17856,715,383
93262,2025-06-30,41986,18216,762,402
93262,2025-09-30,42108,18266,332,282
93262,2025-12-31,42230,18170,341,437
93262,2026-03-31,42352,18351,589,408
93262,2026-06-30,42474,18409,379,321
93266,2024-09-30,3843,5536,,
93266,2024-12-31,3854,5618,153,71
93266,2025-03-31,3865,5693,189,114
93266,2025-06-30,3876,5646,76,123
93266,2025-09-30,3887,5692,170,124
93266,2025-12-31,3898,5715,136,113
93266,2026-03-31,3910,5835,208,88
93266,2026-06-30,3921,5800,94,129
93267,2024-09-30,7002,2255,,
93267,2024-12-31,7012,2153,0,102
93267,2025-03-31,7022,2174,78,57
93267,2025-06-30,7032,2155,35,54
93267,2025-09-30,7043,2147,40,48
93267,2025-12-31,7053,2107,17,57
93267,2026-03-31,7063,2084,24,47
93267,2026-06-30,7073,2104,69,49
93271,2024-09-30,10047,19133,,
93271,2024-12-31,10076,19417,731,447
93271,2025-03-31,10105,19780,882,519
93271,2025-06-30,10134,20044,725,461
93271,2025-09-30,10164,19732,10,322
93271,2025-12-31,10193,20413,1091,410
93271,2026-03-31,10222,20744,684,353
93271,2026-06-30,10252,20647,305,402
93274,2024-09-30,5386,6149,,
93274,2024-12-31,5402,6140,143,152
93274,2025-03-31,5417,6187,188,141
93274,2025-06-30,5433,6126,24,85
93274,2025-09-30,5449,6259,268,135
93274,2025-12-31,5464,6220,94,133
93274,2026-03-31,5480,6412,331,139
93274,2026-06-30,5496,6425,180,167
93275,2024-09-30,6070,1747,,
93275,2024-12-31,6088,1789,83,41
93275,2025-03-31,6105,1843,98,44
93275,2025-06-30,6123,1788,0,55
93275,2025-09-30,6141,1866,117,39
93275,2025-12-31,6158,1853,28,41
93275,2026-03-31,6176,1893,74,34
93275,2026-06-30,6194,1866,12,39
93277,2024-09-30,10957,7806,,
93277,2024-12-31,10973,7879,242,169
93277,2025-03-31,10989,8000,307,186
93277,2025-06-30,11005,7788,0,212
93277,2025-09-30,11020,7899,307,196
93277,2025-12-31,11036,8075,363,187
93277,2026-03-31,11052,7925,41,191
93277,2026-06-30,11068,7980,235,180
93278,2024-09-30,36997,10024,,
93278,2024-12-31,37104,9814,0,210
93278,2025-03-31,37211,9832,175,157
93278,2025-06-30,37319,10206,556,182
93278,2025-09-30,37427,10047,69,228
93278,2025-12-31,37535,10205,386,228
93278,2026-03-31,37643,10601,619,223
93278,2026-06-30,37752,10374,0,227
93279,2024-09-30,1493,2078,,
93279,2024-12-31,1497,2151,120,47
93279,2025-03-31,1501,2171,60,40
93279,2025-06-30,1506,2187,60,44
93279,2025-09-30,1510,2206,66,47
93279,2025-12-31,1514,2204,50,52
93279,2026-03-31,1519,2256,96,44
93279,2026-06-30,1523,2226,21,51
93282,2024-09-30,50551,9642,,
93282,2024-12-31,51237,9579,162,225
93282,2025-03-31,51932,9463,77,193
93282,2025-06-30,52636,9208,0,255
93282,2025-09-30,53350,9210,227,225
93282,2025-12-31,54074,9113,135,232
93282,2026-03-31,54808,8809,0,304
93282,2026-06-30,55551,9125,539,223
93286,2024-09-30,3417,26871,,
93286,2024-12-31,3432,26890,466,447
93286,2025-03-31,3447,27838,1546,598
93286,2025-06-30,3462,27323,0,515
93286,2025-09-30,3477,27851,1143,615
93286,2025-12-31,3492,28366,1088,573
93286,2026-03-31,3508,29690,1756,432
93286,2026-06-30,3523,29175,195,710
93290,2024-09-30,5893,3205,,
93290,2024-12-31,5902,3212,88,81
93290,2025-03-31,5910,3204,56,64
93290,2025-06-30,5919,3217,65,52
93290,2025-09-30,5927,3264,125,78
93290,2025-12-31,5936,3244,45,65
93290,2026-03-31,5944,3277,113,80
93290,2026-06-30,5953,3261,57,73
93291,2024-09-30,7699,9042,,
93291,2024-12-31,7710,9107,264,199
93291,2025-03-31,7721,9318,402,191
93291,2025-06-30,7732,9322,209,205
93291,2025-09-30,7744,9116,0,206
93291,2025-12-31,7755,9139,169,146
93291,2026-03-31,7766,9276,269,132
93291,2026-06-30,7777,9148,34,162
93292,2024-09-30,4869,4815,,
93292,2024-12-31,4935,4785,74,104
93292,2025-03-31,5002,4800,125,110
93292,2025-06-30,5070,4785,81,96
93292,2025-09-30,5139,4629,0,156
93292,2025-12-31,5209,4664,116,81
93292,2026-03-31,5279,4515,0,149
93292,2026-06-30,5351,4568,185,132
93426,2024-09-30,20797,12159,,
93426,2024-12-31,20827,12353,417,223
93426,2025-03-31,20857,12205,137,285
93426,2025-06-30,20887,12264,357,298
93426,2025-09-30,20917,12188,196,272
93426,2025-12-31,20947,12189,246,245
93426,2026-03-31,20977,12147,231,273
93426,2026-06-30,21007,12249,345,243
93450,2024-09-30,6558,6935,,
93450,2024-12-31,6567,6717,0,218
93450,2025-03-31,6577,6867,228,78
93450,2025-06-30,6586,6723,0,144
93450,2025-09-30,6596,6773,242,192
93450,2025-12-31,6605,7020,399,152
93450,2026-03-31,6614,7009,124,135
93450,2026-06-30,6624,6927,75,157
93512,2024-09-30,5320,2521,,
93512,2024-12-31,5392,2539,78,60
93512,2025-03-31,5465,2492,19,66
93512,2025-06-30,5539,2503,56,45
93512,2025-09-30,5614,2509,52,46
93512,2025-12-31,5691,2475,29,63
93512,2026-03-31,5768,2427,2,50
93512,2026-06-30,5846,2424,59,62
93517,2024-09-30,3187,5317,,
93517,2024-12-31,3196,5470,272,119
93517,2025-03-31,3205,5471,89,88
93517,2025-06-30,3215,5456,111,126
93517,2025-09-30,3224,5574,223,105
93517,2025-12-31,3233,5480,43,137
93517,2026-03-31,3243,5528,122,74
93517,2026-06-30,3252,5568,142,102
93529,2024-09-30,25746,11385,,
93529,2024-12-31,25783,11538,417,264
93529,2025-03-31,25820,11780,508,266
93529,2025-06-30,25857,11696,178,262
93529,2025-09-30,25894,11719,289,266
93529,2025-12-31,25931,11766,304,257
93529,2026-03-31,25969,11911,468,323
93529,2026-06-30,26006,11857,193,247
93541,2024-09-30,11488,17269,,
93541,2024-12-31,11521,17328,380,321
93541,2025-03-31,11554,17685,770,413
93541,2025-06-30,11587,17533,261,413
93541,2025-09-30,11621,17765,591,359
93541,2025-12-31,11655,18101,673,337
93541,2026-03-31,11688,18625,935,411
93541,2026-06-30,11722,18439,216,402
93546,2024-09-30,37811,11183,,
93546,2024-12-31,37921,11490,533,226
93546,2025-03-31,38030,11859,623,254
93546,2025-06-30,38140,11613,0,246
93546,2025-09-30,38250,11889,478,202
93546,2025-12-31,38361,11777,127,239
93546,2026-03-31,38472,12520,951,208
93546,2026-06-30,38583,12237,8,291
93601,2024-09-30,28312,9750,,
93601,2024-12-31,28436,9388,0,362
93601,2025-03-31,28560,9426,197,159
93601,2025-06-30,28684,9549,308,185
93601,2025-09-30,28809,9706,342,185
93601,2025-12-31,28935,9382,0,324
93601,2026-03-31,29061,9550,372,204
93601,2026-06-30,29188,9522,119,147
93602,2024-09-30,26756,13369,,
93602,2024-12-31,26872,13195,36,210
93602,2025-03-31,26989,13490,594,299
93602,2025-06-30,27107,13187,0,303
93602,2025-09-30,27225,13185,285,287
93602,2025-12-31,27344,13373,406,218
93602,2026-03-31,27463,13409,336,300
93602,2026-06-30,27583,13287,126,248
93603,2024-09-30,33924,1200,,
93603,2024-12-31,34225,1224,47,23
93603,2025-03-31,34529,1203,7,28
93603,2025-06-30,34835,1194,14,23
93603,2025-09-30,35145,1219,49,24
93603,2025-12-31,35457,1187,0,32
93603,2026-03-31,35771,1180,14,21
93603,2026-06-30,36089,1183,19,16
93604,2024-09-30,6651,23155,,
93604,2024-12-31,6670,23655,1029,529
93604,2025-03-31,6690,23483,364,536
93604,2025-06-30,6709,22889,0,594
93604,2025-09-30,6728,23590,1232,531
93604,2025-12-31,6748,23843,901,648
93604,2026-03-31,6767,24541,1212,514
93604,2026-06-30,6787,24426,374,489
93605,2024-09-30,39606,469,,
93605,2024-12-31,39720,478,17,8
93605,2025-03-31,39835,475,8,11
93605,2025-06-30,39950,484,19,10
93605,2025-09-30,40066,485,10,9
93605,2025-12-31,40181,502,27,10
93605,2026-03-31,40298,502,12,12
93605,2026-06-30,40414,500,8,10
93606,2024-09-30,21071,13054,,
93606,2024-12-31,21132,13460,659,253
93606,2025-03-31,21193,13691,405,174
93606,2025-06-30,21254,13689,319,321
93606,2025-09-30,21316,13875,485,299
93606,2025-12-31,21377,13746,131,260
93606,2026-03-31,21439,14148,634,232
93606,2026-06-30,21501,14327,513,334
93607,2024-09-30,14339,6815,,
93607,2024-12-31,14401,6981,298,132
93607,2025-03-31,14464,6821,0,160
93607,2025-06-30,14527,6819,131,133
93607,2025-09-30,14590,6773,114,160
93607,2025-12-31,14654,6854,255,174
93607,2026-03-31,14718,6838,118,134
93607,2026-06-30,14782,6787,83,134
93608,2024-09-30,17894,10443,,
93608,2024-12-31,17972,10373,119,189
93608,2025-03-31,18050,10523,361,211
93608,2025-06-30,18129,10123,0,400
93608,2025-09-30,18208,10301,383,205
93608,2025-12-31,18287,10306,188,183
93608,2026-03-31,18367,10114,23,215
93608,2026-06-30,18447,10404,536,246
93609,2024-09-30,24431,13913,,
93609,2024-12-31,24466,13944,323,292
93609,2025-03-31,24501,14248,588,284
93609,2025-06-30,24537,14101,98,245
93609,2025-09-30,24572,14269,395,227
93609,2025-12-31,24607,14177,238,330
93609,2026-03-31,24643,14355,460,282
93609,2026-06-30,24678,14220,120,255
93610,2024-09-30,22018,3930,,
93610,2024-12-31,22049,3993,131,68
93610,2025-03-31,22081,3847,0,146
93610,2025-06-30,22113,3880,119,86
93610,2025-09-30,22144,3913,115,82
93610,2025-12-31,22176,4032,208,89
93610,2026-03-31,22208,3992,42,82
93610,2026-06-30,22240,3974,69,87
93611,2024-09-30,27970,6412,,
93611,2024-12-31,28349,6406,91,97
93611,2025-03-31,28734,6260,0,146
93611,2025-06-30,29123,6121,11,150
93611,2025-09-30,29518,6024,66,163
93611,2025-12-31,29919,6213,325,136
93611,2026-03-31,30325,6083,0,130
93611,2026-06-30,30736,6038,66,111
93612,2024-09-30,33867,2180,,
93612,2024-12-31,34326,2154,24,50
93612,2025-03-31,34792,2086,0,68
93612,2025-06-30,35263,2178,144,52
93612,2025-09-30,35742,2153,25,50
93612,2025-12-31,36227,2119,16,50
93612,2026-03-31,36718,2020,0,99
93612,2026-06-30,37216,2056,81,45
93613,2024-09-30,4631,2185,,
93613,2024-12-31,4638,2238,108,55
93613,2025-03-31,4645,2229,38,47
93613,2025-06-30,4651,2208,27,48
93613,2025-09-30,4658,2291,122,39
93613,2025-12-31,4665,2295,55,51
93613,2026-03-31,4671,2294,48,49
93613,2026-06-30,4678,2255,0,39
93614,2024-09-30,38629,1378,,
93614,2024-12-31,38798,1394,40,24
93614,2025-03-31,38967,1472,107,29
93614,2025-06-30,39137,1445,0,27
93614,2025-09-30,39308,1447,27,25
93614,2025-12-31,39479,1468,54,33
93614,2026-03-31,39651,1512,77,33
93614,2026-06-30,39824,1499,10,23
93615,2024-09-30,41349,3135,,
93615,2024-12-31,41469,3210,145,70
93615,2025-03-31,41589,3303,173,80
93615,2025-06-30,41709,3279,57,81
93615,2025-09-30,41829,3274,62,67
93615,2025-12-31,41950,3273,55,56
93615,2026-03-31,42071,3355,147,65
93615,2026-06-30,42193,3376,94,73
93616,2024-09-30,30230,4570,,
93616,2024-12-31,30362,4603,133,100
93616,2025-03-31,30494,4799,276,80
93616,2025-06-30,30627,4719,14,94
93616,2025-09-30,30761,4768,169,120
93616,2025-12-31,30895,4880,195,83
93616,2026-03-31,31030,4994,184,70
93616,2026-06-30,31165,4979,61,76
93618,2024-09-30,13047,330,,
93618,2024-12-31,13066,331,8,7
93618,2025-03-31,13085,333,8,6
93618,2025-06-30,13104,338,11,6
93618,2025-09-30,13122,323,0,15
93618,2025-12-31,13141,337,22,8
93618,2026-03-31,13160,344,16,9
93618,2026-06-30,13179,337,0,7
93619,2024-09-30,5577,3232,,
93619,2024-12-31,5585,3166,0,66
93619,2025-03-31,5593,3244,154,76
93619,2025-06-30,5601,3170,0,74
93619,2025-09-30,5609,3183,75,62
93619,2025-12-31,5617,3197,90,76
93619,2026-03-31,5625,3317,187,67
93619,2026-06-30,5633,3192,0,125
93620,2024-09-30,10478,1866,,
93620,2024-12-31,10493,1860,34,40
93620,2025-03-31,10508,1826,1,35
93620,2025-06-30,10523,1785,2,43
93620,2025-09-30,10539,1829,74,30
93620,2025-12-31,10554,1781,0,48
93620,2026-03-31,10569,1736,0,45
93620,2026-06-30,10584,1777,77,36
